name,slug,regular_price,sku,stock_status,categories,tags,images,short_description,description,attributes
"Opal Glass Wall Light","opal-glass-wall-light","149","WEH-GL-001","instock","Lighting > Wall Lights","Bedroom|Scandinavian Wood & Linen","https://via.placeholder.com/2000x2000.jpg","Warm ambient wall light.","Elegant opal glass wall light with warm bronze details.","Materials|1|0|Brass; Opal Glass || Dimensions|1|0|W200 x H300 x D120 mm || Voltage|1|0|220-240V || Bulb|1|0|E27"
"Brass Modern Pendant","brass-modern-pendant","199","WEH-GL-002","instock","Lighting > Pendant Lights","Dining / Kitchen|Warm Brass & Opal Glass","https://via.placeholder.com/2000x2000.jpg","Modern brass pendant.","Warm brass pendant ideal for dining and kitchen.","Materials|1|0|Brass; Glass || Dimensions|1|0|Ø280 x H320 mm || Voltage|1|0|220-240V || Bulb|1|0|E27"
"Linen Shade Table Lamp","linen-shade-table-lamp","129","WEH-GL-003","instock","Lighting > Table Lamps","Bedroom|Scandinavian Wood & Linen","https://via.placeholder.com/2000x2000.jpg","Calm bedside lamp.","Natural linen shade with wooden base for cozy bedrooms.","Materials|1|0|Oak; Linen || Dimensions|1|0|H420 x Ø180 mm || Voltage|1|0|220-240V || Bulb|1|0|E14"
"Arc Floor Lamp Bronze","arc-floor-lamp-bronze","239","WEH-GL-004","instock","Lighting > Floor Lamps","Living Room|Warm Brass & Opal Glass","https://via.placeholder.com/2000x2000.jpg","Statement floor lamp.","Sleek arc floor lamp with warm bronze finish.","Materials|1|0|Steel; Fabric || Dimensions|1|0|H1650 x Ø320 mm || Voltage|1|0|220-240V || Bulb|1|0|E27"
"Dual Opal Pendant","dual-opal-pendant","229","WEH-GL-005","instock","Lighting > Pendant Lights","Dining / Kitchen|Warm Brass & Opal Glass","https://via.placeholder.com/2000x2000.jpg","Soft diffused pendant.","Two opal globes delivering balanced ambient light.","Materials|1|0|Brass; Opal Glass || Dimensions|1|0|W620 x H320 mm || Voltage|1|0|220-240V || Bulb|1|0|G9"
"Mini Wall Sconce Wood","mini-wall-sconce-wood","119","WEH-GL-006","instock","Lighting > Wall Lights","Entryway|Scandinavian Wood & Linen","https://via.placeholder.com/2000x2000.jpg","Compact entry light.","Wood-accent wall sconce perfect for entryway.","Materials|1|0|Oak; Linen || Dimensions|1|0|W140 x H220 x D90 mm || Voltage|1|0|220-240V || Bulb|1|0|E14"
"Opal Dome Table Lamp","opal-dome-table-lamp","139","WEH-GL-007","instock","Lighting > Table Lamps","Living Room|Warm Brass & Opal Glass","https://via.placeholder.com/2000x2000.jpg","Soft dome table light.","Opal glass dome with warm bronze base.","Materials|1|0|Brass; Opal Glass || Dimensions|1|0|H360 x Ø200 mm || Voltage|1|0|220-240V || Bulb|1|0|G9"
"Slim Floor Reading Lamp","slim-floor-reading-lamp","209","WEH-GL-008","instock","Lighting > Floor Lamps","Bedroom|Scandinavian Wood & Linen","https://via.placeholder.com/2000x2000.jpg","Focused reading light.","Slim adjustable floor lamp ideal for reading.","Materials|1|0|Steel || Dimensions|1|0|H1500 mm || Voltage|1|0|220-240V || Bulb|1|0|GU10"
"Orb Cluster Pendant","orb-cluster-pendant","279","WEH-GL-009","instock","Lighting > Pendant Lights","Living Room|Warm Brass & Opal Glass","https://via.placeholder.com/2000x2000.jpg","Feature cluster pendant.","Cluster of opal orbs for modern living rooms.","Materials|1|0|Brass; Opal Glass || Dimensions|1|0|Ø420 x H380 mm || Voltage|1|0|220-240V || Bulb|1|0|G9"
"Textured Linen Wall Light","textured-linen-wall-light","139","WEH-GL-010","instock","Lighting > Wall Lights","Bedroom|Scandinavian Wood & Linen","https://via.placeholder.com/2000x2000.jpg","Cozy linen wall light.","Textured linen shade, gentle ambient glow.","Materials|1|0|Linen; Steel || Dimensions|1|0|W180 x H260 x D120 mm || Voltage|1|0|220-240V || Bulb|1|0|E14"
"Compact Brass Table Lamp","compact-brass-table-lamp","119","WEH-GL-011","instock","Lighting > Table Lamps","Entryway|Warm Brass & Opal Glass","https://via.placeholder.com/2000x2000.jpg","Small footprint lamp.","Compact brass table lamp for consoles.","Materials|1|0|Brass || Dimensions|1|0|H300 x Ø150 mm || Voltage|1|0|220-240V || Bulb|1|0|E14"
"Tripod Floor Lamp Linen","tripod-floor-lamp-linen","259","WEH-GL-012","instock","Lighting > Floor Lamps","Living Room|Scandinavian Wood & Linen","https://via.placeholder.com/2000x2000.jpg","Scandi tripod floor lamp.","Linen shade with wooden tripod legs.","Materials|1|0|Oak; Linen || Dimensions|1|0|H1600 x Ø450 mm || Voltage|1|0|220-240V || Bulb|1|0|E27"
